experiment,n,algorithm,mean_time,std_time,relative_error
Exp3,4977,Quick Sort 3-Way,0.008685259998310359,0.0012436689200175538,0.14319305585088973
Exp3,4977,Counting Sort,0.017791500012390316,0.002826370496938029,0.15886071972400834
Exp3,4977,Merge Sort,0.00901166000403464,0.000987872226244589,0.10962155982386212
Exp3,4977,Sort,0.0009586300235241652,0.0010414926025808858,1.086438539398231
Exp3,5336,Quick Sort,0.007420290005393328,0.0009343149827494335,0.1259135400463244
Exp3,5336,Quick Sort 3-Way,0.009370799991302194,0.001213010663595516,0.12944579595353764
Exp3,5336,Counting Sort,0.01871501998975873,0.0030697999023606964,0.1640286734420032
Exp3,5336,Merge Sort,0.008821939991321416,0.0005908314519736504,0.06697296201911154
Exp3,5336,Sort,4.4590001925825986e-05,0.00010425437473723904,2.3380661635911744
Exp3,5722,Quick Sort,0.007896129973232746,0.0008572793409500687,0.10856955798045088
Exp3,5722,Quick Sort 3-Way,0.008953309978824108,0.0010043754981813903,0.11217923880183817
Exp3,5722,Counting Sort,0.016756059997715053,0.001814593883067334,0.10829478310025041
Exp3,5722,Merge Sort,0.010348639986477792,0.0008936962817612414,0.08635881458133661
Exp3,5722,Sort,-0.00018276001792401057,0.00023601799703318958,0.0
Exp3,6135,Quick Sort,0.008137689996510744,0.001652405707118737,0.20305586816741003
Exp3,6135,Quick Sort 3-Way,0.010518560011405498,0.0021012496865696127,0.19976590752832926
Exp3,6135,Counting Sort,0.02240372000960633,0.005197678416640742,0.23200068624371606
Exp3,6135,Merge Sort,0.018141740013379603,0.009032823155804412,0.49790280034564877
Exp3,6135,Sort,0.006205740023870021,0.0036034789474458607,0.5806686927884969
Exp3,6579,Quick Sort,0.010756060003768653,0.004378863260983094,0.4071066226340175
Exp3,6579,Quick Sort 3-Way,0.008557920006569474,0.0006931538367956847,0.08099559662436505
Exp3,6579,Counting Sort,0.016858699987642466,0.0018992426859082948,0.11265653266861927
Exp3,6579,Merge Sort,0.009594339993782341,0.0012297462501782575,0.12817413714494177
Exp3,6579,Sort,-0.0017742199706844985,0.0006917199014864227,0.0
Exp3,7054,Quick Sort,0.010259999986737964,0.0009609518649726648,0.09366002594686038
Exp3,7054,Quick Sort 3-Way,0.011424300004728136,0.0009249714693935396,0.08096526430597277
Exp3,7054,Counting Sort,0.020625269995070993,0.002663534130774321,0.12913935824407874
Exp3,7054,Merge Sort,0.013460909994319082,0.001709674015549067,0.12701028506026726
Exp3,7054,Sort,0.0009084000019356605,0.0011981319570095272,1.3189475500401724
Exp3,7564,Quick Sort,0.010859949956648051,0.0007987212187377914,0.07354741245827237
Exp3,7564,Quick Sort 3-Way,0.012636239966377616,0.00035864228331861976,0.028382041198401712
Exp3,7564,Counting Sort,0.018797289964277295,0.0022174082245003026,0.11796425062944205
Exp3,7564,Merge Sort,0.012590299965813756,0.000554845830274834,0.04406930984816868
Exp3,7564,Sort,2.027997979894298e-05,0.00021984904250834574,10.84069336793938
Exp3,8111,Quick Sort,0.011635869985911994,0.0014529071738618854,0.12486450739145223
